BLOCKID|PLACEFP
550019501001000|
550019501001001|
550019501001002|
550019501001003|
550019501001004|
550019501001005|
550019501001006|
550019501001007|
550019501001008|
550019501001009|
550019501001010|
550019501001011|
550019501001012|
550019501001013|
550019501001014|
550019501001015|
550019501001016|
550019501001017|
550019501001018|
550019501001019|
550019501001020|41210
550019501001021|
550019501001022|41210
550019501001023|41210
550019501001024|
550019501001025|
550019501001026|
550019501001027|
550019501001028|
550019501001029|
550019501001030|
550019501001031|
550019501001032|
550019501001033|
550019501001034|
550019501001035|
550019501001036|
550019501001037|
550019501001038|
550019501001039|
550019501001040|
550019501001041|
550019501001042|
550019501001043|
550019501001044|
550019501001045|
550019501001046|
550019501001047|
550019501001048|
550019501001049|
550019501001050|
550019501001051|
550019501001052|
550019501001053|
550019501001054|
550019501001055|
550019501001056|
550019501001057|
550019501001058|
550019501001059|
550019501001060|
550019501001061|
550019501001062|
550019501001063|
550019501001064|
550019501001065|
550019501001066|
550019501001067|
550019501001068|
550019501001069|
550019501001070|
550019501001071|
550019501001072|
550019501001073|
550019501001074|
550019501001075|
550019501001076|
550019501001077|
550019501001078|
550019501001079|
550019501001080|
550019501001081|
550019501001082|
550019501001083|
550019501001084|
550019501001085|
550019501001086|
550019501001087|
550019501001088|
550019501001089|
550019501001090|
550019501001091|
550019501001092|
550019501001093|41210
550019501001094|41210
550019501001095|41210
550019501001096|41210
550019501001097|41210
550019501001098|
550019501001099|
550019501001100|41772
550019501001101|41210
550019501001102|41210
550019501001103|41210
550019501001104|
550019501001105|
550019501001106|
550019501001107|
550019501001108|
550019501001109|
550019501001110|41210
550019501002000|41210
550019501002001|41210
550019501002002|41210
550019501002003|41210
550019501002004|41772
550019501002005|41772
550019501002006|41772
550019501002007|41772
550019501002008|41772
550019501002009|41772
550019501002010|41772
550019501002011|41210
550019501002012|41210
550019501002013|41210
550019501002014|41772
550019501002015|41772
550019501002016|41772
550019501002017|
550019501002018|
550019501002019|
550019501002020|
550019501002021|
550019501002022|
550019501002023|
550019501002024|
550019501002025|
550019501002026|
550019501002027|
550019501002028|
550019501002029|
550019501002030|
550019501002031|
550019501002032|
550019501002033|
550019501002034|
550019501002035|
550019501002036|
550019501002037|
550019501002038|
550019501002039|
550019501003000|41160
550019501003001|
550019501003002|41160
550019501003003|41160
550019501003004|41160
550019501003005|41160
550019501003006|41160
550019501003007|41160
550019501003008|41160
550019501003009|41160
550019501003010|41160
550019501003011|41160
550019501003012|41160
550019501003013|41160
550019501003014|41160
550019501003015|41160
550019501003016|41160
550019501003017|41160
550019501003018|41160
550019501003019|41160
550019501003020|41160
550019501003021|41160
550019501003022|41160
550019501003023|41160
550019501003024|41160
550019501003025|41160
550019501004000|
550019501004001|
550019501004002|
550019501004003|
550019501004004|
550019501004005|
550019501004006|
550019501004007|
550019501004008|
550019501004009|
550019501004010|
550019501004011|
550019501004012|
550019501004013|
550019501004014|
550019501004015|
550019501004016|
550019501004017|
550019501004018|
550019501004019|
550019501004020|
550019501004021|
550019501004022|
550019501004023|
550019501004024|
550019501004025|
550019501004026|
550019501004027|
550019501004028|
550019501004029|41160
550019501004030|
550019501004031|41160
550019501004032|41160
550019501004033|41160
550019501004034|41160
550019501004035|41160
550019501004036|41160
550019501004037|41160
550019501004038|
550019501004039|
550019501004040|41160
550019501004041|41160
550019501004042|
550019501004043|
550019501004044|
550019501004045|
550019501004046|
550019501004047|
550019501004048|
550019501004049|41160
550019501004050|
550019501004051|
550019501004052|
550019502011000|02725
550019502011001|
550019502011002|
550019502011003|
550019502011004|
550019502011005|
550019502011006|
550019502011007|
550019502011008|
550019502011009|
550019502011010|
550019502011011|
550019502011012|
550019502011013|
550019502011014|
550019502011015|
550019502011016|
550019502011017|
550019502011018|02725
550019502011019|02725
550019502011020|
550019502011021|
550019502011022|
550019502011023|02725
550019502011024|02725
550019502011025|02725
550019502011026|02725
550019502011027|02725
550019502011028|
550019502011029|
550019502011030|
550019502011031|
550019502011032|
550019502011033|
550019502011034|
550019502011035|
550019502011036|
550019502011037|
550019502011038|
550019502011039|
550019502011040|
550019502011041|
550019502011042|
550019502011043|
550019502011044|
550019502011045|19600
550019502011046|19600
550019502011047|19600
550019502011048|19600
550019502011049|19600
550019502011050|19600
550019502011051|
550019502011052|
550019502011053|
550019502011054|
550019502011055|
550019502011056|
550019502011057|
550019502011058|
550019502011059|
550019502011060|
550019502011061|
550019502011062|
550019502011063|
550019502011064|
550019502011065|
550019502011066|19600
550019502011067|19600
550019502011068|
550019502011069|
550019502011070|
550019502011071|
550019502011072|
550019502011073|
550019502011074|
550019502012000|
550019502012001|
550019502012002|
550019502012003|
550019502012004|
550019502012005|
550019502012006|
550019502012007|
550019502012008|
550019502012009|
550019502012010|
550019502012011|
550019502012012|02725
550019502012013|02725
550019502012014|
550019502012015|
550019502012016|
550019502012017|
550019502012018|
550019502012019|
550019502012020|
550019502012021|02725
550019502012022|
550019502012023|
550019502012024|
550019502012025|
550019502012026|
550019502012027|
550019502012028|
550019502012029|
550019502012030|
550019502012031|
550019502012032|
550019502012033|
550019502012034|
550019502012035|
550019502012036|
550019502012037|
550019502012038|
550019502012039|
550019502012040|
550019502012041|
550019502012042|
550019502012043|
550019502012044|
550019502012045|
550019502012046|
550019502012047|
550019502012048|
550019502012049|
550019502012050|
550019502012051|
550019502012052|
550019502012053|
550019502012054|
550019502012055|
550019502012056|
550019502012057|
550019502031000|
550019502031001|
550019502031002|
550019502031003|
550019502031004|
550019502031005|
550019502031006|
550019502031007|
550019502031008|
550019502031009|
550019502031010|
550019502031011|
550019502031012|
550019502031013|
550019502031014|
550019502031015|
550019502031016|
550019502031017|
550019502031018|
550019502031019|
550019502031020|
550019502031021|
550019502031022|
550019502031023|
550019502031024|
550019502031025|
550019502031026|
550019502031027|
550019502031028|
550019502031029|
550019502031030|
550019502031031|
550019502031032|
550019502031033|
550019502031034|
550019502031035|
550019502031036|
550019502032000|
550019502032001|
550019502032002|
550019502032003|
550019502032004|
550019502032005|
550019502032006|
550019502032007|
550019502032008|
550019502032009|
550019502032010|
550019502032011|
550019502032012|
550019502032013|
550019502032014|
550019502032015|
550019502032016|
550019502032017|
550019502032018|
550019502032019|
550019502032020|
550019502032021|
550019502032022|
550019502032023|
550019502032024|
550019502032025|
550019502032026|
550019502032027|
550019502032028|
550019502032029|
550019502032030|
550019502032031|
550019502032032|
550019502032033|
550019502032034|
550019502032035|
550019502032036|
550019502032037|
550019502032038|
550019502032039|
550019502032040|
550019502032041|
550019502032042|
550019502032043|
550019502032044|
550019502032045|
550019502032046|
550019502032047|
550019502032048|
550019502032049|
550019502032050|
550019502032051|
550019502032052|
550019502032053|
550019502032054|
550019502032055|
550019502032056|
550019502032057|
550019502032058|
