BLOCKID|DISTRICT
550019501001000|072
550019501001001|072
550019501001002|072
550019501001003|072
550019501001004|072
550019501001005|072
550019501001006|072
550019501001007|072
550019501001008|072
550019501001009|072
550019501001010|072
550019501001011|072
550019501001012|072
550019501001013|072
550019501001014|072
550019501001015|072
550019501001016|072
550019501001017|072
550019501001018|072
550019501001019|072
550019501001020|072
550019501001021|072
550019501001022|072
550019501001023|072
550019501001024|072
550019501001025|072
550019501001026|072
550019501001027|072
550019501001028|072
550019501001029|072
550019501001030|072
550019501001031|072
550019501001032|072
550019501001033|072
550019501001034|072
550019501001035|072
550019501001036|072
550019501001037|072
550019501001038|072
550019501001039|072
550019501001040|072
550019501001041|072
550019501001042|072
550019501001043|072
550019501001044|072
550019501001045|072
550019501001046|072
550019501001047|072
550019501001048|072
550019501001049|072
550019501001050|072
550019501001051|072
550019501001052|072
550019501001053|072
550019501001054|072
550019501001055|072
550019501001056|072
550019501001057|072
550019501001058|072
550019501001059|072
550019501001060|072
550019501001061|072
550019501001062|072
550019501001063|072
550019501001064|072
550019501001065|072
550019501001066|072
550019501001067|072
550019501001068|072
550019501001069|072
550019501001070|072
550019501001071|072
550019501001072|072
550019501001073|072
550019501001074|072
550019501001075|072
550019501001076|072
550019501001077|072
550019501001078|072
550019501001079|072
550019501001080|072
550019501001081|072
550019501001082|072
550019501001083|072
550019501001084|072
550019501001085|072
550019501001086|072
550019501001087|072
550019501001088|072
550019501001089|072
550019501001090|072
550019501001091|072
550019501001092|072
550019501001093|072
550019501001094|072
550019501001095|072
550019501001096|072
550019501001097|072
550019501001098|072
550019501001099|072
550019501001100|072
550019501001101|072
550019501001102|072
550019501001103|072
550019501001104|072
550019501001105|072
550019501001106|072
550019501001107|072
550019501001108|072
550019501001109|072
550019501001110|072
550019501002000|072
550019501002001|072
550019501002002|072
550019501002003|072
550019501002004|072
550019501002005|072
550019501002006|072
550019501002007|072
550019501002008|072
550019501002009|072
550019501002010|072
550019501002011|072
550019501002012|072
550019501002013|072
550019501002014|072
550019501002015|072
550019501002016|072
550019501002017|072
550019501002018|072
550019501002019|072
550019501002020|072
550019501002021|072
550019501002022|072
550019501002023|072
550019501002024|072
550019501002025|072
550019501002026|072
550019501002027|072
550019501002028|072
550019501002029|072
550019501002030|072
550019501002031|072
550019501002032|072
550019501002033|072
550019501002034|072
550019501002035|072
550019501002036|072
550019501002037|072
550019501002038|072
550019501002039|072
550019501003000|072
550019501003001|072
550019501003002|072
550019501003003|072
550019501003004|072
550019501003005|072
550019501003006|072
550019501003007|072
550019501003008|072
550019501003009|072
550019501003010|072
550019501003011|072
550019501003012|072
550019501003013|072
550019501003014|072
550019501003015|072
550019501003016|072
550019501003017|072
550019501003018|072
550019501003019|072
550019501003020|072
550019501003021|072
550019501003022|072
550019501003023|072
550019501003024|072
550019501003025|072
550019501004000|072
550019501004001|072
550019501004002|072
550019501004003|072
550019501004004|072
550019501004005|072
550019501004006|072
550019501004007|072
550019501004008|072
550019501004009|072
550019501004010|072
550019501004011|072
550019501004012|072
550019501004013|072
550019501004014|072
550019501004015|072
550019501004016|072
550019501004017|072
550019501004018|072
550019501004019|072
550019501004020|072
550019501004021|072
550019501004022|072
550019501004023|072
550019501004024|072
550019501004025|072
550019501004026|072
550019501004027|072
550019501004028|072
550019501004029|072
550019501004030|072
550019501004031|072
550019501004032|072
550019501004033|072
550019501004034|072
550019501004035|072
550019501004036|072
550019501004037|072
550019501004038|072
550019501004039|072
550019501004040|072
550019501004041|072
550019501004042|072
550019501004043|072
550019501004044|072
550019501004045|072
550019501004046|072
550019501004047|072
550019501004048|072
550019501004049|072
550019501004050|072
550019501004051|072
550019501004052|072
550019502011000|072
550019502011001|072
550019502011002|072
550019502011003|072
550019502011004|072
550019502011005|072
550019502011006|072
550019502011007|072
550019502011008|072
550019502011009|072
550019502011010|072
550019502011011|072
550019502011012|072
550019502011013|072
550019502011014|072
550019502011015|072
550019502011016|072
550019502011017|072
550019502011018|072
550019502011019|072
550019502011020|072
550019502011021|072
550019502011022|072
550019502011023|072
550019502011024|072
550019502011025|072
550019502011026|072
550019502011027|072
550019502011028|072
550019502011029|072
550019502011030|072
550019502011031|072
550019502011032|072
550019502011033|072
550019502011034|072
550019502011035|072
550019502011036|072
550019502011037|072
550019502011038|072
550019502011039|072
550019502011040|072
550019502011041|072
550019502011042|072
550019502011043|072
550019502011044|072
550019502011045|072
550019502011046|072
550019502011047|072
550019502011048|072
550019502011049|072
550019502011050|072
550019502011051|072
550019502011052|072
550019502011053|072
550019502011054|072
550019502011055|041
550019502011056|041
550019502011057|072
550019502011058|072
550019502011059|041
550019502011060|041
550019502011061|041
550019502011062|041
550019502011063|072
550019502011064|072
550019502011065|072
550019502011066|072
550019502011067|072
550019502011068|072
550019502011069|072
550019502011070|041
550019502011071|041
550019502011072|072
550019502011073|072
550019502011074|072
550019502012000|072
550019502012001|072
550019502012002|072
550019502012003|072
550019502012004|072
550019502012005|072
550019502012006|072
550019502012007|072
550019502012008|072
550019502012009|072
550019502012010|072
550019502012011|072
550019502012012|072
550019502012013|072
550019502012014|072
550019502012015|072
550019502012016|072
550019502012017|072
550019502012018|072
550019502012019|072
550019502012020|072
550019502012021|072
550019502012022|072
550019502012023|072
550019502012024|072
550019502012025|072
550019502012026|072
550019502012027|072
550019502012028|072
550019502012029|072
550019502012030|072
550019502012031|072
550019502012032|072
550019502012033|072
550019502012034|072
550019502012035|072
550019502012036|072
550019502012037|072
550019502012038|072
550019502012039|072
550019502012040|072
550019502012041|072
550019502012042|072
550019502012043|072
550019502012044|072
550019502012045|072
550019502012046|041
550019502012047|041
550019502012048|041
550019502012049|041
550019502012050|072
550019502012051|072
550019502012052|041
550019502012053|041
550019502012054|041
550019502012055|041
550019502012056|041
550019502012057|041
550019502031000|072
550019502031001|072
550019502031002|072
