block_2010,COUNTYFP,vtd_2010,vtd_name_2010,pop_2010
550790001011000,079,0339,Milwaukee - C 259,77
550790001011001,079,0339,Milwaukee - C 259,235
550790001011002,079,0339,Milwaukee - C 259,73
550790001011003,079,0339,Milwaukee - C 259,139
550790001011004,079,0339,Milwaukee - C 259,865
550790001012000,079,0339,Milwaukee - C 259,0
550790001012001,079,0339,Milwaukee - C 259,0
550790001012002,079,0339,Milwaukee - C 259,0
550790001012003,079,0339,Milwaukee - C 259,49
550790001012004,079,0339,Milwaukee - C 259,199
550790001012005,079,0339,Milwaukee - C 259,522
550790001012006,079,0339,Milwaukee - C 259,156
550790001012007,079,0339,Milwaukee - C 259,73
550790001012008,079,0339,Milwaukee - C 259,0
550790001012009,079,0339,Milwaukee - C 259,0
550790001013000,079,0338,Milwaukee - C 258,936
550790001013001,079,0338,Milwaukee - C 258,430
550790001014000,079,0338,Milwaukee - C 258,0
550790001014001,079,0338,Milwaukee - C 258,0
550790001014002,079,0338,Milwaukee - C 258,973
550790001014003,079,0338,Milwaukee - C 258,0
550790001014004,079,0338,Milwaukee - C 258,6
550790001014005,079,0338,Milwaukee - C 258,24
550790001014006,079,0338,Milwaukee - C 258,44
550790001014007,079,0338,Milwaukee - C 258,21
550790001014008,079,0338,Milwaukee - C 258,0
550790001014009,079,0338,Milwaukee - C 258,0
550790001021000,079,0345,Milwaukee - C 265,399
550790001021001,079,0345,Milwaukee - C 265,174
550790001021002,079,0345,Milwaukee - C 265,567
550790001021003,079,0345,Milwaukee - C 265,98
550790001022000,079,0345,Milwaukee - C 265,0
550790001022001,079,0345,Milwaukee - C 265,0
550790001022002,079,0345,Milwaukee - C 265,0
550790001022003,079,0345,Milwaukee - C 265,0
550790001022004,079,0345,Milwaukee - C 265,0
550790001022005,079,0345,Milwaukee - C 265,0
550790001022006,079,0345,Milwaukee - C 265,36
550790001022007,079,0201,Milwaukee - C 149,0
550790001022008,079,0345,Milwaukee - C 265,3
550790001022009,079,0345,Milwaukee - C 265,0
550790001022010,079,0345,Milwaukee - C 265,485
550790001022011,079,0345,Milwaukee - C 265,0
550790001022012,079,0058,Milwaukee - C 155,36
550790001022013,079,0058,Milwaukee - C 155,348
550790001022014,079,0345,Milwaukee - C 265,12
550790001022015,079,0058,Milwaukee - C 155,37
550790001022016,079,0058,Milwaukee - C 155,62
550790001022017,079,0058,Milwaukee - C 155,58
550790001022018,079,0058,Milwaukee - C 155,37
550790001022019,079,0058,Milwaukee - C 155,71
550790001022020,079,0058,Milwaukee - C 155,61
550790001022021,079,0058,Milwaukee - C 155,74
550790001022022,079,0058,Milwaukee - C 155,28
550790001022023,079,0058,Milwaukee - C 155,30
550790001022024,079,0058,Milwaukee - C 155,72
550790001022025,079,0058,Milwaukee - C 155,75
550790001022026,079,0058,Milwaukee - C 155,0
550790001023000,079,0201,Milwaukee - C 149,169
550790001023001,079,0201,Milwaukee - C 149,569
550790001023002,079,0201,Milwaukee - C 149,3
550790001023003,079,0201,Milwaukee - C 149,0
550790001023004,079,0201,Milwaukee - C 149,3
550790002011000,079,0342,Milwaukee - C 261,0
550790002011001,079,0342,Milwaukee - C 261,7
550790002011002,079,0342,Milwaukee - C 261,0
550790002011003,079,0342,Milwaukee - C 261,115
550790002011004,079,0342,Milwaukee - C 261,1126
550790002011005,079,0342,Milwaukee - C 261,5
550790002011006,079,0342,Milwaukee - C 261,9
550790002011007,079,0342,Milwaukee - C 261,0
550790002011008,079,0342,Milwaukee - C 261,137
550790002011009,079,0342,Milwaukee - C 261,0
550790002012000,079,0342,Milwaukee - C 261,279
550790002012001,079,0342,Milwaukee - C 261,4
550790002012002,079,0342,Milwaukee - C 261,10
550790002012003,079,0342,Milwaukee - C 261,0
550790002012004,079,0342,Milwaukee - C 261,0
550790002012005,079,0342,Milwaukee - C 261,0
550790002012006,079,0342,Milwaukee - C 261,0
550790002012007,079,0342,Milwaukee - C 261,0
550790002012008,079,0342,Milwaukee - C 261,741
550790002012009,079,0342,Milwaukee - C 261,98
550790002012010,079,0342,Milwaukee - C 261,304
550790002012011,079,0342,Milwaukee - C 261,675
550790002012012,079,0342,Milwaukee - C 261,87
550790002012013,079,0342,Milwaukee - C 261,210
550790002012014,079,0342,Milwaukee - C 261,0
550790002012015,079,0342,Milwaukee - C 261,0
550790002012016,079,0342,Milwaukee - C 261,0
550790002012017,079,0342,Milwaukee - C 261,1
550790002013000,079,0341,Milwaukee - C 260,1642
550790002013001,079,0341,Milwaukee - C 260,0
550790002021000,079,0343,Milwaukee - C 263,0
550790002021001,079,0343,Milwaukee - C 263,371
550790002021002,079,0343,Milwaukee - C 263,135
550790002021003,079,0343,Milwaukee - C 263,432
550790002021004,079,0343,Milwaukee - C 263,61
550790002021005,079,0343,Milwaukee - C 263,38
550790002021006,079,0343,Milwaukee - C 263,48
550790002021007,079,0344,Milwaukee - C 264,26
550790002021008,079,0344,Milwaukee - C 264,49
550790002021009,079,0343,Milwaukee - C 263,57
550790002021010,079,0343,Milwaukee - C 263,106
550790002021011,079,0344,Milwaukee - C 264,23
550790002021012,079,0343,Milwaukee - C 263,87
550790002021013,079,0343,Milwaukee - C 263,55
550790002021014,079,0343,Milwaukee - C 263,72
550790002021015,079,0343,Milwaukee - C 263,112
550790002021016,079,0344,Milwaukee - C 264,75
550790002021017,079,0344,Milwaukee - C 264,45
550790002021018,079,0344,Milwaukee - C 264,77
550790002021019,079,0344,Milwaukee - C 264,95
550790002021020,079,0344,Milwaukee - C 264,54
550790002021021,079,0344,Milwaukee - C 264,46
