STATEFP|COUNTYFP|COUSUBFP|NAME|NAMELSAD
55|001|00275|Adams|Adams city
55|001|00300|Adams|Adams town
55|001|07300|Big Flats|Big Flats town
55|001|16075|Colburn|Colburn town
55|001|19575|Dell Prairie|Dell Prairie town
55|001|22000|Easton|Easton town
55|001|27950|Friendship|Friendship village
55|001|37625|Jackson|Jackson town
55|001|43425|Leola|Leola town
55|001|44250|Lincoln|Lincoln town
55|001|53725|Monroe|Monroe town
55|001|56525|New Chester|New Chester town
55|001|56750|New Haven|New Haven town
55|001|65450|Preston|Preston town
55|001|65825|Quincy|Quincy town
55|001|67425|Richfield|Richfield town
55|001|69275|Rome|Rome town
55|001|76350|Springville|Springville town
55|001|77800|Strongs Prairie|Strongs Prairie town
55|001|88150|Wisconsin Dells|Wisconsin Dells city
55|003|00000|County subdivisions not defined|County subdivisions not defined
55|003|00550|Agenda|Agenda town
55|003|03225|Ashland|Ashland city
55|003|03250|Ashland|Ashland town
55|003|11525|Butternut|Butternut village
55|003|14550|Chippewa|Chippewa town
55|003|29250|Gingles|Gingles town
55|003|29875|Gordon|Gordon town
55|003|37775|Jacobs|Jacobs town
55|003|42562|La Pointe|La Pointe town
55|003|49200|Marengo|Marengo town
55|003|50700|Mellen|Mellen city
55|003|54400|Morse|Morse town
55|003|61600|Peeksville|Peeksville town
55|003|71350|Sanborn|Sanborn town
55|003|72825|Shanagolden|Shanagolden town
55|003|86850|White River|White River town
55|005|01325|Almena|Almena village
55|005|01350|Almena|Almena town
55|005|02775|Arland|Arland town
55|005|04875|Barron|Barron city
55|005|04900|Barron|Barron town
55|005|05650|Bear Lake|Bear Lake town
55|005|12250|Cameron|Cameron village
55|005|13500|Cedar Lake|Cedar Lake town
55|005|14325|Chetek|Chetek city
55|005|14350|Chetek|Chetek town
55|005|15600|Clinton|Clinton town
55|005|17875|Crystal Lake|Crystal Lake town
55|005|18025|Cumberland|Cumberland city
55|005|18050|Cumberland|Cumberland town
55|005|18575|Dallas|Dallas village
55|005|18600|Dallas|Dallas town
55|005|20650|Dovre|Dovre town
55|005|20750|Doyle|Doyle town
55|005|33225|Haugen|Haugen village
55|005|41600|Lakeland|Lakeland town
55|005|48825|Maple Grove|Maple Grove town
55|005|48950|Maple Plain|Maple Plain town
55|005|56350|New Auburn|New Auburn village
55|005|58950|Oak Grove|Oak Grove town
55|005|65150|Prairie Farm|Prairie Farm village
55|005|65175|Prairie Farm|Prairie Farm town
55|005|65200|Prairie Lake|Prairie Lake town
55|005|67350|Rice Lake|Rice Lake city
55|005|67375|Rice Lake|Rice Lake town
55|005|74125|Sioux Creek|Sioux Creek town
55|005|76550|Stanfold|Stanfold town
55|005|76600|Stanley|Stanley town
55|005|78450|Sumner|Sumner town
55|005|81075|Turtle Lake|Turtle Lake village
55|005|81100|Turtle Lake|Turtle Lake town
55|005|82375|Vance Creek|Vance Creek town
55|007|00000|County subdivisions not defined|County subdivisions not defined
55|007|03225|Ashland|Ashland city
55|007|04725|Barksdale|Barksdale town
55|007|04750|Barnes|Barnes town
