STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
55|001|000001|Adams - C 0001|Adams - C 0001
55|001|000002|Adams - C 0002|Adams - C 0002
55|001|000003|Adams - C 0003|Adams - C 0003
55|001|000004|Adams - C 0004|Adams - C 0004
55|001|000005|ADAMS - T 0001|ADAMS - T 0001
55|001|000006|ADAMS - T 0002|ADAMS - T 0002
55|001|000007|ADAMS - T 0003|ADAMS - T 0003
55|001|000008|BIG FLATS - T 0001|BIG FLATS - T 0001
55|001|000009|BIG FLATS - T 0002|BIG FLATS - T 0002
55|001|000010|COLBURN - T 0001|COLBURN - T 0001
55|001|000011|DELL PRAIRIE - T 0001|DELL PRAIRIE - T 0001
55|001|000012|DELL PRAIRIE - T 0003|DELL PRAIRIE - T 0003
55|001|000013|EASTON - T 0001|EASTON - T 0001
55|001|000014|EASTON - T 0002|EASTON - T 0002
55|001|000015|Friendship - V 0001|Friendship - V 0001
55|001|000016|JACKSON - T 0001|JACKSON - T 0001
55|001|000017|JACKSON - T 0002|JACKSON - T 0002
55|001|000018|LEOLA - T 0001|LEOLA - T 0001
55|001|000019|LINCOLN - T 0001|LINCOLN - T 0001
55|001|000020|MONROE - T 0001|MONROE - T 0001
55|001|000021|NEW CHESTER - T 0001|NEW CHESTER - T 0001
55|001|000022|NEW CHESTER - T 0002|NEW CHESTER - T 0002
55|001|000023|NEW CHESTER - T 0003|NEW CHESTER - T 0003
55|001|000024|NEW HAVEN - T 0001|NEW HAVEN - T 0001
55|001|000025|PRESTON - T 0001|PRESTON - T 0001
55|001|000026|PRESTON - T 0002|PRESTON - T 0002
55|001|000027|QUINCY - T 0001|QUINCY - T 0001
55|001|000028|QUINCY - T 0002|QUINCY - T 0002
55|001|000029|QUINCY - T 0003|QUINCY - T 0003
55|001|000030|RICHFIELD - T 0001|RICHFIELD - T 0001
55|001|000031|ROME - T 0001|ROME - T 0001
55|001|000032|ROME - T 0002|ROME - T 0002
55|001|000033|ROME - T 0003|ROME - T 0003
55|001|000034|ROME - T 0004|ROME - T 0004
55|001|000035|ROME - T 0005|ROME - T 0005
55|001|000036|SPRINGVILLE - T 0001|SPRINGVILLE - T 0001
55|001|000037|SPRINGVILLE - T 0002|SPRINGVILLE - T 0002
