block_2000,ward_2002,pop_2000
550790144001000,Milwaukee - C 58,164
550790110001005,Milwaukee - C 54,102
550790214002003,Milwaukee - C 222,71
550790213001001,Milwaukee - C 221,0
550790202002012,Milwaukee - C 221,69
550790213001013,Milwaukee - C 222,31
550790213001012,Milwaukee - C 222,143
550790214002008,Milwaukee - C 222,0
550790196001007,Milwaukee - C 190,77
550790196001000,Milwaukee - C 190,31
550790196001003,Milwaukee - C 190,50
550790179002001,Milwaukee - C 236,114
550790180021011,Milwaukee - C 57,1
550790180021012,Milwaukee - C 57,131
550790179004006,Milwaukee - C 235,79
550790179004009,Milwaukee - C 235,61
550790180011011,Milwaukee - C 237,72
550790180011006,Milwaukee - C 237,54
550790183003003,Milwaukee - C 240,132
550790181001011,Milwaukee - C 240,52
550790184002005,Milwaukee - C 241,54
550790184002006,Milwaukee - C 241,69
550790190003008,Milwaukee - C 146,84
550790199005002,Milwaukee - C 188,81
550791603001032,Oak Creek - C 15,34
550791603004013,Oak Creek - C 15,0
550791603002013,Oak Creek - C 13,94
550791504001022,Franklin - C 14,8
550791502004040,Franklin - C 14,0
550791502002016,Franklin - C 16,68
550791501002008,Franklin - C 10,9
550791501002012,Franklin - C 9,34
550791503024024,Franklin - C 2,88
550790601003023,Glendale - C 12,0
550790601004006,Glendale - C 10,87
550790601004026,Glendale - C 4,27
550791202011006,Greenfield - C 8,55
550791201003012,Greenfield - C 7,61
550791202031002,Greenfield - C 7,68
550791201003042,Greenfield - C 7,35
550791202021000,Greenfield - C 13,44
550791202032009,Greenfield - C 5,14
550791202021003,Greenfield - C 13,47
550791202022005,Greenfield - C 14,38
550790066002003,Milwaukee - C 99,91
550790066002002,Milwaukee - C 99,66
550790084001004,Milwaukee - C 109,132
550790067002001,Milwaukee - C 99,113
550790067001004,Milwaukee - C 99,208
550790086001007,Milwaukee - C 179,63
550790003042001,Milwaukee - C 155,411
550790003042006,Milwaukee - C 268,56
550790033001009,Milwaukee - C 78,31
550790030004010,Milwaukee - C 27,44
550790030004013,Milwaukee - C 27,80
550790024003015,Milwaukee - C 4,56
550790021001013,Milwaukee - C 161,405
550790010001008,Glendale - C 12,0
550790156001007,Milwaukee - C 201,46
550790057002008,Milwaukee - C 92,59
550790057002009,Milwaukee - C 92,79
550790058002006,Milwaukee - C 37,73
550790058002005,Milwaukee - C 37,72
550790022002003,Milwaukee - C 1,54
550790022002008,Milwaukee - C 1,61
550790013002005,Milwaukee - C 20,85
550790013002007,Milwaukee - C 20,88
550790013001010,Milwaukee - C 20,90
550790059003005,Milwaukee - C 125,0
550790059003015,Milwaukee - C 126,0
550790059003000,Milwaukee - C 127,138
550790093003009,Milwaukee - C 275,32
550790093002005,Milwaukee - C 275,64
550790094001005,Milwaukee - C 276,98
550790093001004,Milwaukee - C 275,74
550790094001003,Milwaukee - C 276,89
550790060003004,Milwaukee - C 127,107
550790026002000,Milwaukee - C 15,112
550790026001000,Milwaukee - C 15,189
550790046004002,Milwaukee - C 19,80
550790048002000,Milwaukee - C 172,127
550790048003000,Milwaukee - C 172,52
550790048003013,Milwaukee - C 172,0
550790132001007,Milwaukee - C 60,0
550790169002003,Milwaukee - C 212,0
550790130001016,Milwaukee - C 289,75
550790143001003,Milwaukee - C 58,178
550790110002000,Milwaukee - C 54,221
550790144001016,Milwaukee - C 59,1
550790144001015,Milwaukee - C 59,55
550790144001032,Milwaukee - C 59,8
550790153001991,Milwaukee - C 59,0
550790215001004,Milwaukee - C 228,58
550790215001006,Milwaukee - C 228,57
550790214002006,Milwaukee - C 222,94
550790214002000,Milwaukee - C 222,63
550790215001007,Milwaukee - C 228,60
550790196004000,Milwaukee - C 191,274
550790194001008,Milwaukee - C 192,48
550790196004002,Milwaukee - C 191,57
550790204003000,Milwaukee - C 248,110
550790203001011,Milwaukee - C 242,94
550790184001008,Milwaukee - C 240,0
550790206001000,Milwaukee - C 250,35
550790206001019,Milwaukee - C 249,61
550790206001008,Milwaukee - C 249,73
550790193004010,Milwaukee - C 186,50
550790193004012,Milwaukee - C 185,67
550790191003009,Milwaukee - C 200,140
550790190003004,Milwaukee - C 145,71
550790191003010,Milwaukee - C 200,60
550790191003007,Milwaukee - C 200,136
550790182001010,Milwaukee - C 239,93
550790000000997,NA,0
550790301003027,Bayside - V 1,544
550790301004003,Bayside - V 2,57
550790301004010,Bayside - V 2,27
550790301003003,Bayside - V 5,11
550790301002004,Bayside - V 2,66
550790301002001,Bayside - V 3,32
550790301002013,Bayside - V 3,23
550790301001018,Bayside - V 3,30
550790301001020,Bayside - V 3,31
550790501024009,Brown Deer - V 6,48
550790501014002,Brown Deer - V 4,26
550790501015008,Brown Deer - V 7,33
550790501012007,Brown Deer - V 2,43
550790501015012,Brown Deer - V 7,18
550790501015018,Brown Deer - V 7,24
550790501015022,Brown Deer - V 7,69
550790501011015,Brown Deer - V 4,81
550790501012001,Brown Deer - V 1,32
550790601004010,Glendale - C 4,22
550790601004009,Glendale - C 4,82
550791202031006,Greenfield - C 7,181
550791204003019,Greenfield - C 16,59
550791202033011,Greenfield - C 5,48
550791203001019,Greenfield - C 1,31
550791203001040,Greenfield - C 1,22
550791203001014,Greenfield - C 1,35
550791203001043,Greenfield - C 1,39
550790085001005,Milwaukee - C 109,111
550790085001012,Milwaukee - C 109,71
550790085001015,Milwaukee - C 109,22
550790131001001,Milwaukee - C 289,0
550790032002003,Milwaukee - C 31,66
550790009001021,Milwaukee - C 147,134
550790115001001,Milwaukee - C 111,53
550790022002007,Milwaukee - C 1,222
550790022002009,Milwaukee - C 1,69
550790161002006,Milwaukee - C 296,86
550790171002006,Milwaukee - C 295,95
550790171002010,Milwaukee - C 295,0
550790172001005,Milwaukee - C 295,97
550790162003006,Milwaukee - C 135,201
550790012003007,Milwaukee - C 160,162
550790012003003,Milwaukee - C 160,110
550790093003003,Milwaukee - C 126,74
