block_2010,pop_2010,ward_2002,ward_2011
550790001011000,77,Milwaukee - C 259,Milwaukee - C 3
550790001011001,235,Milwaukee - C 259,Milwaukee - C 3
550790001011002,73,Milwaukee - C 259,Milwaukee - C 3
550790001011003,139,Milwaukee - C 259,Milwaukee - C 3
550790001011004,865,Milwaukee - C 259,Milwaukee - C 3
550790001012000,0,Milwaukee - C 259,Milwaukee - C 3
550790001012001,0,Milwaukee - C 259,Milwaukee - C 3
550790001012002,0,Milwaukee - C 259,Milwaukee - C 3
550790001012003,49,Milwaukee - C 259,Milwaukee - C 3
550790001012004,199,Milwaukee - C 259,Milwaukee - C 3
550790001012005,522,Milwaukee - C 259,Milwaukee - C 3
550790001012006,156,Milwaukee - C 259,Milwaukee - C 3
550790001012007,73,Milwaukee - C 259,Milwaukee - C 3
550790001012008,0,Milwaukee - C 259,Milwaukee - C 3
550790001012009,0,Milwaukee - C 259,Milwaukee - C 3
550790001013000,936,Milwaukee - C 258,Milwaukee - C 4
550790001013001,430,Milwaukee - C 258,Milwaukee - C 4
550790001014000,0,Milwaukee - C 258,Milwaukee - C 4
550790001014001,0,Milwaukee - C 258,Milwaukee - C 4
550790001014002,973,Milwaukee - C 258,Milwaukee - C 4
550790001014003,0,Milwaukee - C 258,Milwaukee - C 4
550790001014004,6,Milwaukee - C 258,Milwaukee - C 4
550790001014005,24,Milwaukee - C 258,Milwaukee - C 4
550790001014006,44,Milwaukee - C 258,Milwaukee - C 4
550790001014007,21,Milwaukee - C 258,Milwaukee - C 4
550790001014008,0,Milwaukee - C 258,Milwaukee - C 4
550790001014009,0,Milwaukee - C 258,Milwaukee - C 4
550790001021000,399,Milwaukee - C 265,Milwaukee - C 5
550790001021001,174,Milwaukee - C 265,Milwaukee - C 5
550790001021002,567,Milwaukee - C 265,Milwaukee - C 5
550790001021003,98,Milwaukee - C 265,Milwaukee - C 5
550790001022000,0,Milwaukee - C 265,Milwaukee - C 5
550790001022001,0,Milwaukee - C 265,Milwaukee - C 5
550790001022002,0,Milwaukee - C 265,Milwaukee - C 5
550790001022003,0,Milwaukee - C 265,Milwaukee - C 5
550790001022004,0,Milwaukee - C 265,Milwaukee - C 5
550790001022005,0,Milwaukee - C 265,Milwaukee - C 5
550790001022006,36,Milwaukee - C 265,Milwaukee - C 5
550790001022007,0,Milwaukee - C 149,Milwaukee - C 4
550790001022008,3,Milwaukee - C 265,Milwaukee - C 5
550790001022009,0,Milwaukee - C 265,Milwaukee - C 5
550790001022010,485,Milwaukee - C 265,Milwaukee - C 5
550790001022011,0,Milwaukee - C 265,Milwaukee - C 5
550790001022012,36,Milwaukee - C 155,Milwaukee - C 9
550790001022013,348,Milwaukee - C 155,Milwaukee - C 9
550790001022014,12,Milwaukee - C 265,Milwaukee - C 5
550790001022015,37,Milwaukee - C 155,Milwaukee - C 9
550790001022016,62,Milwaukee - C 155,Milwaukee - C 9
550790001022017,58,Milwaukee - C 155,Milwaukee - C 9
550790001022018,37,Milwaukee - C 155,Milwaukee - C 9
550790001022019,71,Milwaukee - C 155,Milwaukee - C 9
550790001022020,61,Milwaukee - C 155,Milwaukee - C 9
550790001022021,74,Milwaukee - C 155,Milwaukee - C 9
550790001022022,28,Milwaukee - C 155,Milwaukee - C 9
550790001022023,30,Milwaukee - C 155,Milwaukee - C 9
550790001022024,72,Milwaukee - C 155,Milwaukee - C 9
550790001022025,75,Milwaukee - C 155,Milwaukee - C 9
550790001022026,0,Milwaukee - C 155,Milwaukee - C 9
550790001023000,169,Milwaukee - C 149,Milwaukee - C 4
550790001023001,569,Milwaukee - C 149,Milwaukee - C 4
550790001023002,3,Milwaukee - C 149,Milwaukee - C 4
550790001023003,0,Milwaukee - C 149,Milwaukee - C 4
550790001023004,3,Milwaukee - C 149,Milwaukee - C 4
550790002011000,0,Milwaukee - C 261,Milwaukee - C 1
550790002011001,7,Milwaukee - C 261,Milwaukee - C 1
550790002011002,0,Milwaukee - C 261,Milwaukee - C 1
550790002011003,115,Milwaukee - C 261,Milwaukee - C 1
550790002011004,1126,Milwaukee - C 261,Milwaukee - C 1
550790002011005,5,Milwaukee - C 261,Milwaukee - C 1
550790002011006,9,Milwaukee - C 261,Milwaukee - C 1
550790002011007,0,Milwaukee - C 261,Milwaukee - C 1
550790002011008,137,Milwaukee - C 261,Milwaukee - C 1
550790002011009,0,Milwaukee - C 261,Milwaukee - C 1
550790002012000,279,Milwaukee - C 261,Milwaukee - C 1
550790002012001,4,Milwaukee - C 261,Milwaukee - C 1
550790002012002,10,Milwaukee - C 261,Milwaukee - C 1
550790002012003,0,Milwaukee - C 261,Milwaukee - C 1
550790002012004,0,Milwaukee - C 261,Milwaukee - C 1
550790002012005,0,Milwaukee - C 261,Milwaukee - C 1
550790002012006,0,Milwaukee - C 261,Milwaukee - C 1
550790002012007,0,Milwaukee - C 261,Milwaukee - C 1
550790002012008,741,Milwaukee - C 261,Milwaukee - C 1
550790002012009,98,Milwaukee - C 261,Milwaukee - C 1
550790002012010,304,Milwaukee - C 261,Milwaukee - C 1
550790002012011,675,Milwaukee - C 261,Milwaukee - C 1
550790002012012,87,Milwaukee - C 261,Milwaukee - C 1
550790002012013,210,Milwaukee - C 261,Milwaukee - C 1
550790002012014,0,Milwaukee - C 261,Milwaukee - C 1
550790002012015,0,Milwaukee - C 261,Milwaukee - C 1
550790002012016,0,Milwaukee - C 261,Milwaukee - C 1
550790002012017,1,Milwaukee - C 261,Milwaukee - C 1
550790002013000,1642,Milwaukee - C 260,Milwaukee - C 2
550790002013001,0,Milwaukee - C 260,Milwaukee - C 2
550790002021000,0,Milwaukee - C 263,Milwaukee - C 7
550790002021001,371,Milwaukee - C 263,Milwaukee - C 7
550790002021002,135,Milwaukee - C 263,Milwaukee - C 7
550790002021003,432,Milwaukee - C 263,Milwaukee - C 7
550790002021004,61,Milwaukee - C 263,Milwaukee - C 7
550790002021005,38,Milwaukee - C 263,Milwaukee - C 7
550790002021006,48,Milwaukee - C 263,Milwaukee - C 7
550790002021007,26,Milwaukee - C 264,Milwaukee - C 6
550790002021008,49,Milwaukee - C 264,Milwaukee - C 6
550790002021009,57,Milwaukee - C 263,Milwaukee - C 7
550790002021010,106,Milwaukee - C 263,Milwaukee - C 7
550790002021011,23,Milwaukee - C 264,Milwaukee - C 6
550790002021012,87,Milwaukee - C 263,Milwaukee - C 7
550790002021013,55,Milwaukee - C 263,Milwaukee - C 7
550790002021014,72,Milwaukee - C 263,Milwaukee - C 7
550790002021015,112,Milwaukee - C 263,Milwaukee - C 7
550790002021016,75,Milwaukee - C 264,Milwaukee - C 6
550790002021017,45,Milwaukee - C 264,Milwaukee - C 6
550790002021018,77,Milwaukee - C 264,Milwaukee - C 6
550790002021019,95,Milwaukee - C 264,Milwaukee - C 6
550790002021020,54,Milwaukee - C 264,Milwaukee - C 6
550790002021021,46,Milwaukee - C 264,Milwaukee - C 6
550790002021022,35,Milwaukee - C 264,Milwaukee - C 6
550790002021023,26,Milwaukee - C 264,Milwaukee - C 6
550790002021024,54,Milwaukee - C 264,Milwaukee - C 6
550790002022000,4,Milwaukee - C 264,Milwaukee - C 6
550790002022001,0,Milwaukee - C 264,Milwaukee - C 6
550790002022002,0,Milwaukee - C 264,Milwaukee - C 6
550790002022003,0,Milwaukee - C 263,Milwaukee - C 7
550790002022004,0,Milwaukee - C 264,Milwaukee - C 6
550790002022005,0,Milwaukee - C 264,Milwaukee - C 6
550790002022006,504,Milwaukee - C 264,Milwaukee - C 6
550790002022007,16,Milwaukee - C 264,Milwaukee - C 6
550790002022008,84,Milwaukee - C 264,Milwaukee - C 6
550790002022009,0,Milwaukee - C 264,Milwaukee - C 6
550790002022010,117,Milwaukee - C 264,Milwaukee - C 6
550790002022011,101,Milwaukee - C 264,Milwaukee - C 6
550790002022012,57,Milwaukee - C 264,Milwaukee - C 6
550790002022013,81,Milwaukee - C 264,Milwaukee - C 6
550790002022014,105,Milwaukee - C 264,Milwaukee - C 6
550790002022015,41,Milwaukee - C 264,Milwaukee - C 6
550790002022016,22,Milwaukee - C 264,Milwaukee - C 6
550790002022017,75,Milwaukee - C 264,Milwaukee - C 6
550790002022018,334,Milwaukee - C 264,Milwaukee - C 6
550790002023000,0,Milwaukee - C 264,Milwaukee - C 6
550790002023001,0,Milwaukee - C 264,Milwaukee - C 6
550790002023002,70,Milwaukee - C 264,Milwaukee - C 6
550790002023003,248,Milwaukee - C 264,Milwaukee - C 6
