ward_2011,group,count_2010,est_2012,est_2014,est_2016,est_2018,count_2020
Bayside - V 1,vap,785,786.2,787.4,788.6,789.8,791
Bayside - V 1,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Bayside - V 1,vap_asian,49,56,63,70,77,84
Bayside - V 1,vap_black,45,51.8,58.6,65.4,72.2,79
Bayside - V 1,vap_hisp,19,18,17,16,15,14
Bayside - V 1,vap_nhpi,0,0,0,0,0,0
Bayside - V 1,vap_other,2,2.6,3.2,3.8,4.4,5
Bayside - V 1,vap_two,5,6,7,8,9,10
Bayside - V 1,vap_white,664,651,638,625,612,599
Bayside - V 1B,vap,36,36.6,37.2,37.8,38.4,39
Bayside - V 1B,vap_aian,0,0,0,0,0,0
Bayside - V 1B,vap_asian,1,1.8,2.6,3.4,4.2,5
Bayside - V 1B,vap_black,0,0,0,0,0,0
Bayside - V 1B,vap_hisp,2,1.6,1.2,0.8,0.3999999999999999,0
Bayside - V 1B,vap_nhpi,0,0,0,0,0,0
Bayside - V 1B,vap_other,0,0,0,0,0,0
Bayside - V 1B,vap_two,0,1.6,3.2,4.8,6.4,8
Bayside - V 1B,vap_white,33,31.6,30.2,28.8,27.4,26
Bayside - V 2,vap,474,489,504,519,534,549
Bayside - V 2,vap_aian,3,2.6,2.2,1.8,1.4,1
Bayside - V 2,vap_asian,12,13.8,15.6,17.4,19.2,21
Bayside - V 2,vap_black,2,6.800000000000001,11.600000000000001,16.4,21.200000000000003,26
Bayside - V 2,vap_hisp,13,15.2,17.4,19.6,21.8,24
Bayside - V 2,vap_nhpi,3,3,3,3,3,3
Bayside - V 2,vap_other,0,0,0,0,0,0
Bayside - V 2,vap_two,6,8.8,11.600000000000001,14.4,17.200000000000003,20
Bayside - V 2,vap_white,435,438.8,442.6,446.4,450.2,454
Bayside - V 3,vap,528,520.8,513.6,506.4,499.2,492
Bayside - V 3,vap_aian,2,2.2,2.4,2.6,2.8,3
Bayside - V 3,vap_asian,12,13.6,15.2,16.8,18.4,20
Bayside - V 3,vap_black,26,26.8,27.6,28.4,29.2,30
Bayside - V 3,vap_hisp,12,14,16,18,20,22
Bayside - V 3,vap_nhpi,0,0,0,0,0,0
Bayside - V 3,vap_other,0,0,0,0,0,0
Bayside - V 3,vap_two,3,2.8,2.6,2.4,2.2,2
Bayside - V 3,vap_white,473,461.4,449.8,438.2,426.6,415
Bayside - V 3B,vap,46,43,40,37,34,31
Bayside - V 3B,vap_aian,0,0,0,0,0,0
Bayside - V 3B,vap_asian,4,3.8,3.6,3.4,3.2,3
Bayside - V 3B,vap_black,0,0,0,0,0,0
Bayside - V 3B,vap_hisp,0,0,0,0,0,0
Bayside - V 3B,vap_nhpi,0,0,0,0,0,0
Bayside - V 3B,vap_other,0,0,0,0,0,0
Bayside - V 3B,vap_two,0,0,0,0,0,0
Bayside - V 3B,vap_white,42,39.2,36.4,33.6,30.799999999999997,28
Bayside - V 4,vap,733,742,751,760,769,778
Bayside - V 4,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Bayside - V 4,vap_asian,16,15.8,15.6,15.4,15.2,15
Bayside - V 4,vap_black,20,20,20,20,20,20
Bayside - V 4,vap_hisp,17,19.8,22.6,25.4,28.200000000000003,31
