ward_2022,group,count_2020
Bayside - V 0001,vap,557
Bayside - V 0001,vap_aian,0
Bayside - V 0001,vap_asian,34
Bayside - V 0001,vap_black,43
Bayside - V 0001,vap_hisp,18
Bayside - V 0001,vap_nhpi,1
Bayside - V 0001,vap_other,5
Bayside - V 0001,vap_two,19
Bayside - V 0001,vap_white,437
Bayside - V 0002,vap,636
Bayside - V 0002,vap_aian,1
Bayside - V 0002,vap_asian,26
Bayside - V 0002,vap_black,23
Bayside - V 0002,vap_hisp,28
Bayside - V 0002,vap_nhpi,2
Bayside - V 0002,vap_other,6
Bayside - V 0002,vap_two,22
Bayside - V 0002,vap_white,528
Bayside - V 0003,vap,841
Bayside - V 0003,vap_aian,3
Bayside - V 0003,vap_asian,78
Bayside - V 0003,vap_black,71
Bayside - V 0003,vap_hisp,23
Bayside - V 0003,vap_nhpi,0
Bayside - V 0003,vap_other,0
Bayside - V 0003,vap_two,1
Bayside - V 0003,vap_white,665
Bayside - V 0004,vap,733
Bayside - V 0004,vap_aian,0
Bayside - V 0004,vap_asian,14
Bayside - V 0004,vap_black,20
Bayside - V 0004,vap_hisp,28
Bayside - V 0004,vap_nhpi,0
Bayside - V 0004,vap_other,1
Bayside - V 0004,vap_two,7
Bayside - V 0004,vap_white,663
Bayside - V 0005,vap,646
Bayside - V 0005,vap_aian,0
Bayside - V 0005,vap_asian,18
Bayside - V 0005,vap_black,14
Bayside - V 0005,vap_hisp,27
Bayside - V 0005,vap_nhpi,0
Bayside - V 0005,vap_other,1
Bayside - V 0005,vap_two,23
Bayside - V 0005,vap_white,563
Brown Deer - V 0001,vap,1707
Brown Deer - V 0001,vap_aian,0
Brown Deer - V 0001,vap_asian,84
Brown Deer - V 0001,vap_black,755
Brown Deer - V 0001,vap_hisp,44
Brown Deer - V 0001,vap_nhpi,0
Brown Deer - V 0001,vap_other,1
Brown Deer - V 0001,vap_two,55
Brown Deer - V 0001,vap_white,768
Brown Deer - V 0002,vap,1655
Brown Deer - V 0002,vap_aian,6
Brown Deer - V 0002,vap_asian,158
Brown Deer - V 0002,vap_black,631
Brown Deer - V 0002,vap_hisp,67
Brown Deer - V 0002,vap_nhpi,1
Brown Deer - V 0002,vap_other,12
Brown Deer - V 0002,vap_two,59
Brown Deer - V 0002,vap_white,721
Brown Deer - V 0003,vap,1267
Brown Deer - V 0003,vap_aian,0
Brown Deer - V 0003,vap_asian,115
Brown Deer - V 0003,vap_black,525
Brown Deer - V 0003,vap_hisp,52
Brown Deer - V 0003,vap_nhpi,0
Brown Deer - V 0003,vap_other,3
Brown Deer - V 0003,vap_two,23
Brown Deer - V 0003,vap_white,549
Brown Deer - V 0004,vap,1646
Brown Deer - V 0004,vap_aian,6
Brown Deer - V 0004,vap_asian,125
Brown Deer - V 0004,vap_black,407
Brown Deer - V 0004,vap_hisp,68
Brown Deer - V 0004,vap_nhpi,5
Brown Deer - V 0004,vap_other,7
Brown Deer - V 0004,vap_two,66
Brown Deer - V 0004,vap_white,962
Brown Deer - V 0005,vap,1659
Brown Deer - V 0005,vap_aian,4
Brown Deer - V 0005,vap_asian,85
Brown Deer - V 0005,vap_black,586
Brown Deer - V 0005,vap_hisp,109
Brown Deer - V 0005,vap_nhpi,0
Brown Deer - V 0005,vap_other,8
Brown Deer - V 0005,vap_two,47
Brown Deer - V 0005,vap_white,820
Brown Deer - V 0006,vap,1622
Brown Deer - V 0006,vap_aian,4
Brown Deer - V 0006,vap_asian,84
Brown Deer - V 0006,vap_black,573
Brown Deer - V 0006,vap_hisp,58
Brown Deer - V 0006,vap_nhpi,1
Brown Deer - V 0006,vap_other,0
Brown Deer - V 0006,vap_two,40
Brown Deer - V 0006,vap_white,862
Brown Deer - V 0007,vap,390
