county,rep_unit,total,rep,dem,year,office
ADAMS,TOWN OF ADAMS WARDS 1-3,639,270,357,2012,president
ADAMS,TOWN OF BIG FLATS WARDS 1 & 2,497,209,282,2012,president
ADAMS,TOWN OF COLBURN WARD 1,124,58,63,2012,president
ADAMS,TOWN OF DELL PRAIRIE WARDS 1-3,845,411,429,2012,president
ADAMS,TOWN OF EASTON WARDS 1 & 2,512,237,270,2012,president
ADAMS,TOWN OF JACKSON WARDS 1 & 2,567,253,310,2012,president
ADAMS,TOWN OF LEOLA WARD 1,154,102,50,2012,president
ADAMS,TOWN OF LINCOLN WARD 1,166,80,84,2012,president
ADAMS,TOWN OF MONROE WARD 1,263,126,135,2012,president
ADAMS,TOWN OF NEW CHESTER WARD 1-3,428,160,266,2012,president
ADAMS,TOWN OF NEW HAVEN WARD 1,371,152,207,2012,president
ADAMS,TOWN OF PRESTON WARDS 1 & 2,685,285,392,2012,president
ADAMS,TOWN OF QUINCY WARDS 1-3,755,253,497,2012,president
ADAMS,TOWN OF RICHFIELD WARD 1,88,42,44,2012,president
ADAMS,TOWN OF ROME WARDS 1-5,1860,1025,826,2012,president
ADAMS,TOWN OF SPRINGVILLE WARDS 1 & 2,603,284,313,2012,president
ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,619,280,330,2012,president
ADAMS,VILLAGE OF FRIENDSHIP WARD 1,298,109,185,2012,president
ADAMS,CITY OF ADAMS WARDS 1-4,798,298,497,2012,president
ADAMS,CITY OF WISCONSIN DELLS WARDS 5 & 9,15,10,5,2012,president
ASHLAND,TOWN OF AGENDA WARD 1,239,136,101,2012,president
ASHLAND,TOWN OF ASHLAND WARD 1,328,105,211,2012,president
ASHLAND,TOWN OF CHIPPEWA WARD 1,223,111,105,2012,president
ASHLAND,TOWN OF GINGLES WARD 1,427,143,276,2012,president
ASHLAND,TOWN OF GORDON WARDS 1-2,183,82,100,2012,president
ASHLAND,TOWN OF JACOBS WARD 1,377,156,216,2012,president
ASHLAND,TOWN OF LA POINTE WARD 1,267,51,209,2012,president
ASHLAND,TOWN OF MARENGO WARDS 1-2,210,82,125,2012,president
ASHLAND,TOWN OF MORSE WARDS 1-3,307,121,183,2012,president
ASHLAND,TOWN OF PEEKSVILLE WARDS 1-2,107,54,50,2012,president
ASHLAND,TOWN OF SANBORN WARDS 1-2,576,68,503,2012,president
ASHLAND,TOWN OF SHANAGOLDEN WARDS 1,73,34,39,2012,president
ASHLAND,TOWN OF WHITE RIVER WARDS 1-2,475,266,202,2012,president
ASHLAND,VILLAGE OF BUTTERNUT WARDS 1-2,175,66,108,2012,president
ASHLAND,CITY OF ASHLAND WARD 1,450,218,231,2012,president
ASHLAND,CITY OF ASHLAND WARD 2,306,84,216,2012,president
ASHLAND,CITY OF ASHLAND WARD 3,321,100,213,2012,president
ASHLAND,CITY OF ASHLAND WARD 4,453,171,278,2012,president
ASHLAND,CITY OF ASHLAND WARD 5,401,110,289,2012,president
ASHLAND,CITY OF ASHLAND WARD 6,314,85,222,2012,president
ASHLAND,CITY OF ASHLAND WARD 7,412,94,288,2012,president
ASHLAND,CITY OF ASHLAND WARD 8,345,111,228,2012,president
ASHLAND,CITY OF ASHLAND WARD 9,310,62,241,2012,president
ASHLAND,CITY OF ASHLAND WARD 10,353,99,249,2012,president
ASHLAND,CITY OF ASHLAND WARD 11,394,106,286,2012,president
ASHLAND,CITY OF MELLEN WARD 1,346,105,230,2012,president
BARRON,TOWN OF ALMENA WARDS 1-2,482,228,249,2012,president
BARRON,TOWN OF ARLAND WARD 1,325,149,169,2012,president
BARRON,TOWN OF BARRON WARDS 1-2,404,257,142,2012,president
BARRON,TOWN OF BEAR LAKE WARD 1,364,164,195,2012,president
BARRON,TOWN OF CEDAR LAKE WARD 1,647,376,268,2012,president
BARRON,TOWN OF CHETEK WARDS 1 - 2,1043,552,477,2012,president
BARRON,TOWN OF CLINTON WARD 1,354,199,149,2012,president
BARRON,TOWN OF CRYSTAL LAKE WARD 1,409,204,195,2012,president
BARRON,TOWN OF CUMBERLAND WARD 1,452,230,214,2012,president
BARRON,TOWN OF DALLAS WARD 1,295,168,118,2012,president
BARRON,TOWN OF DOVRE WARD 1,374,189,185,2012,president
BARRON,TOWN OF DOYLE WARDS 1-2,284,174,106,2012,president
BARRON,TOWN OF LAKELAND WARDS 1-2,575,297,272,2012,president
BARRON,TOWN OF MAPLE GROVE WARDS 1-2,497,323,163,2012,president
BARRON,TOWN OF MAPLE PLAIN WARD 1,481,239,238,2012,president
BARRON,TOWN OF OAK GROVE WARDS 1-2,502,241,255,2012,president
BARRON,TOWN OF PRAIRIE FARM WARDS 1-2,273,124,142,2012,president
BARRON,TOWN OF PRAIRIE LAKE WARDS 1 & 2,861,481,367,2012,president
BARRON,TOWN OF RICE LAKE WARDS 1-4,1641,843,779,2012,president
BARRON,TOWN OF SIOUX CREEK WARD 1,302,178,122,2012,president
BARRON,TOWN OF STANFOLD WARD 1,371,194,177,2012,president
BARRON,TOWN OF STANLEY WARDS 1-4,1325,734,576,2012,president
BARRON,TOWN OF SUMNER WARD 1,399,208,190,2012,president
BARRON,TOWN OF TURTLE LAKE WARD 1,299,150,139,2012,president
BARRON,TOWN OF VANCE CREEK WARD 1,313,159,148,2012,president
BARRON,VILLAGE OF ALMENA WARD 1,276,147,127,2012,president
